Frame,Time (Seconds),X,Y,Z,X,Y,Z,W
1249,12.49,-2.040866,0.98189,0.684508,-0.867151,-0.009766,-0.36934,0.33398
1250,12.5,-2.038787,0.981318,0.678317,-0.865799,-0.012283,-0.372243,0.33418
1251,12.51,-2.036693,0.980785,0.672134,-0.864314,-0.014372,-0.37672,0.33292
1252,12.52,-2.034628,0.980306,0.665833,-0.862547,-0.017036,-0.379841,0.333833
1253,12.53,-2.03252,0.97987,0.659504,-0.861019,-0.019572,-0.383165,0.333839
1254,12.54,-2.030436,0.979412,0.653093,-0.859407,-0.021785,-0.386668,0.333815
1255,12.55,-2.028243,0.979034,0.64645,-0.857932,-0.024404,-0.390445,0.333032
1256,12.56,-2.025524,0.978774,0.639749,-0.855859,-0.02807,-0.3886,0.340157
1257,12.57,-2.023108,0.978423,0.633195,-0.853394,-0.029533,-0.393373,0.340741
1258,12.58,-2.02086,0.978834,0.626414,-0.852093,-0.033048,-0.398637,0.337542
1259,12.59,-2.018374,0.978999,0.620133,-0.849428,-0.033342,-0.403882,0.337994
1260,12.6,-2.016304,0.980068,0.613538,-0.84949,-0.036119,-0.4074,0.333299
1261,12.61,-2.014049,0.980957,0.607685,-0.847398,-0.036856,-0.41088,0.334269
1262,12.62,-2.012071,0.982337,0.601463,-0.847361,-0.038208,-0.412967,0.33163
1263,12.63,-2.009896,0.983522,0.595804,-0.845611,-0.038818,-0.415919,0.332335
1264,12.64,-2.007985,0.985131,0.589978,-0.844943,-0.040654,-0.418141,0.331024
1265,12.65,-2.005917,0.986448,0.584292,-0.843072,-0.041951,-0.421726,0.331084
1266,12.66,-2.003691,0.987328,0.5791,-0.839811,-0.042923,-0.42565,0.334212
1267,12.67,-2.00166,0.988595,0.57316,-0.838388,-0.046419,-0.429983,0.331761
1268,12.68,-1.999001,0.989276,0.568011,-0.836611,-0.048692,-0.432769,0.332299
1269,12.69,-1.996448,0.989547,0.563093,-0.832952,-0.051847,-0.439055,0.332766
1270,12.7,-1.994058,0.990042,0.557419,-0.832289,-0.05699,-0.443503,0.327647
1271,12.71,-1.991145,0.990186,0.552577,-0.829789,-0.060292,-0.450088,0.324402
1272,12.72,-1.989154,0.989588,0.548688,-0.819456,-0.068012,-0.463375,0.330379
1273,12.73,-1.986417,0.989339,0.544334,-0.815463,-0.071721,-0.469413,0.33095
1274,12.74,-1.984235,0.989021,0.540077,-0.810155,-0.074387,-0.484852,0.320989
1275,12.75,-1.981505,0.988722,0.535899,-0.806305,-0.07746,-0.491716,0.319512
1276,12.76,-1.978726,0.988654,0.531794,-0.803771,-0.079352,-0.496591,0.31789
1277,12.77,-1.976269,0.988836,0.527943,-0.803917,-0.078297,-0.49642,0.318049
1278,12.78,-1.973229,0.988967,0.524071,-0.800905,-0.081448,-0.502733,0.314925
1279,12.79,-1.970774,0.989607,0.520378,-0.797646,-0.081555,-0.506498,0.317127
1280,12.8,-1.967724,0.990297,0.516464,-0.799475,-0.081797,-0.506206,0.312896
1281,12.81,-1.966016,0.990251,0.514116,-0.800347,-0.082168,-0.503725,0.314571
1282,12.82,-1.962372,0.991123,0.510063,-0.791508,-0.086979,-0.517411,0.313426
1283,12.83,-1.959887,0.991329,0.507483,-0.79225,-0.088964,-0.513826,0.316873
1284,12.84,-1.956874,0.991764,0.504519,-0.789212,-0.09199,-0.518453,0.316053
1285,12.85,-1.952595,0.992352,0.501157,-0.789748,-0.094812,-0.512669,0.323233
1286,12.86,-1.949667,0.992659,0.498598,-0.784071,-0.099987,-0.520439,0.323078
1287,12.87,-1.947582,0.992683,0.49662,-0.779996,-0.101776,-0.530801,0.315432
1288,12.88,-1.944002,0.993082,0.493687,-0.779348,-0.102787,-0.538496,0.303437
1289,12.89,-1.93978,0.993133,0.49119,-0.777292,-0.107342,-0.530362,0.320952
1290,12.9,-1.936559,0.993247,0.488658,-0.775104,-0.105576,-0.547006,0.298081
1291,12.91,-1.933967,0.993146,0.487064,-0.769273,-0.112154,-0.551526,0.302423
1292,12.92,-1.92934,0.99331,0.484136,-0.76752,-0.115036,-0.552494,0.304023
1293,12.93,-1.925616,0.992932,0.48247,-0.75917,-0.122091,-0.562693,0.303532
1294,12.94,-1.921667,0.992885,0.479873,-0.754778,-0.125206,-0.570889,0.297858
1295,12.95,-1.91798,0.99264,0.47785,-0.749929,-0.128562,-0.577522,0.295884
1296,12.96,-1.914215,0.991845,0.476331,-0.747735,-0.128611,-0.579799,0.296959
1297,12.97,-1.910011,0.991867,0.473845,-0.742828,-0.133204,-0.58745,0.292174
1298,12.98,-1.906547,0.991625,0.471841,-0.742738,-0.12992,-0.593086,0.282331
1299,12.99,-1.902485,0.990809,0.470441,-0.734458,-0.138434,-0.596927,0.291695
1300,13,-1.897761,0.990413,0.46799,-0.731265,-0.138578,-0.604015,0.28498
1301,13.01,-1.894568,0.989904,0.466655,-0.732232,-0.134988,-0.606609,0.278638
1302,13.02,-1.890075,0.989661,0.46435,-0.728432,-0.136819,-0.613323,0.27295
1303,13.03,-1.885082,0.98906,0.462328,-0.720138,-0.145513,-0.618629,0.278434
1304,13.04,-1.881945,0.988438,0.461098,-0.721888,-0.140742,-0.620835,0.271354
1305,13.05,-1.877384,0.987994,0.458797,-0.718092,-0.141507,-0.627225,0.266287
1306,13.06,-1.873191,0.987137,0.457318,-0.706741,-0.152622,-0.633065,0.276499
1307,13.07,-1.868422,0.986454,0.455508,-0.705473,-0.152286,-0.635599,0.274099
1308,13.08,-1.863891,0.985727,0.453835,-0.701929,-0.154602,-0.639768,0.272196
1309,13.09,-1.859363,0.985043,0.452135,-0.698161,-0.155853,-0.644159,0.270812
1310,13.1,-1.854509,0.983997,0.450582,-0.693177,-0.15644,-0.651296,0.266169
1311,13.11,-1.849731,0.983137,0.448913,-0.690737,-0.156881,-0.654818,0.2636
1312,13.12,-1.845614,0.982376,0.447297,-0.693482,-0.150778,-0.657284,0.253628
1313,13.13,-1.840428,0.981533,0.445501,-0.692383,-0.149832,-0.660084,0.24989
1314,13.14,-1.835705,0.980616,0.444145,-0.683924,-0.159693,-0.661718,0.262442
1315,13.15,-1.830508,0.979699,0.442186,-0.678545,-0.161811,-0.66625,0.263637
1316,13.16,-1.825225,0.978616,0.440249,-0.680624,-0.155392,-0.669995,0.252413
1317,13.17,-1.820415,0.977515,0.438596,-0.676494,-0.158452,-0.671994,0.256267
1318,13.18,-1.814976,0.976417,0.436842,-0.673266,-0.15923,-0.674956,0.256502
1319,13.19,-1.809129,0.975413,0.434828,-0.670277,-0.159665,-0.67804,0.255925
1320,13.2,-1.802587,0.974284,0.432695,-0.663657,-0.161719,-0.68544,0.25215
1321,13.21,-1.797335,0.973172,0.431114,-0.665411,-0.16018,-0.682433,0.256624
1322,13.22,-1.791199,0.972124,0.429234,-0.662641,-0.160427,-0.684531,0.258045
1323,13.23,-1.784637,0.971055,0.427144,-0.663701,-0.158767,-0.685195,0.254563
1324,13.24,-1.778207,0.969985,0.425204,-0.660835,-0.158939,-0.687447,0.255836
1325,13.25,-1.771854,0.968885,0.423448,-0.657478,-0.160187,-0.689543,0.258055
1326,13.26,-1.765187,0.967846,0.421636,-0.655506,-0.160404,-0.690903,0.259299
1327,13.27,-1.75817,0.966895,0.419632,-0.652697,-0.160915,-0.693017,0.260423
1328,13.28,-1.751087,0.965946,0.417741,-0.6508,-0.161242,-0.694579,0.260808
1329,13.29,-1.743862,0.965091,0.415913,-0.6493,-0.161706,-0.695483,0.261848
1330,13.3,-1.736445,0.964316,0.414111,-0.646955,-0.16243,-0.69662,0.264171
1331,13.31,-1.728597,0.963643,0.412157,-0.646934,-0.162102,-0.696702,0.264207
1332,13.32,-1.720837,0.963105,0.410346,-0.643955,-0.163096,-0.698656,0.265708
1333,13.33,-1.712572,0.962687,0.408387,-0.64506,-0.162452,-0.697736,0.265841
1334,13.34,-1.70451,0.962321,0.406643,-0.642315,-0.163851,-0.69856,0.269441
1335,13.35,-1.695849,0.962304,0.40461,-0.643965,-0.163151,-0.697103,0.269702
1336,13.36,-1.687264,0.962616,0.402659,-0.642155,-0.163897,-0.698461,0.270052
1337,13.37,-1.67859,0.96324,0.400867,-0.641219,-0.164547,-0.698868,0.270824
1338,13.38,-1.669738,0.964278,0.399148,-0.641618,-0.164425,-0.698736,0.270292
1339,13.39,-1.661302,0.96558,0.397966,-0.638728,-0.166599,-0.700074,0.272338
1340,13.4,-1.652728,0.967226,0.396877,-0.636053,-0.168414,-0.701993,0.272541
1341,13.41,-1.644289,0.969015,0.396064,-0.633137,-0.170586,-0.703671,0.273651
1342,13.42,-1.635976,0.970925,0.395439,-0.629812,-0.172772,-0.705776,0.27453
1343,13.43,-1.627782,0.972828,0.395039,-0.627802,-0.174321,-0.706466,0.276374
1344,13.44,-1.619403,0.974694,0.394506,-0.626837,-0.175745,-0.706029,0.278771
1345,13.45,-1.61112,0.976406,0.393902,-0.626301,-0.176446,-0.705673,0.280427
1346,13.46,-1.602083,0.977908,0.39312,-0.617418,-0.185366,-0.706693,0.291582
1347,13.47,-1.594805,0.979131,0.392292,-0.627486,-0.175267,-0.703845,0.283098
1348,13.48,-1.587161,0.980079,0.391354,-0.627701,-0.174503,-0.703161,0.28479
1349,13.49,-1.578727,0.980784,0.390173,-0.619823,-0.182306,-0.703499,0.296097
1350,13.5,-1.571223,0.981268,0.388881,-0.622956,-0.180627,-0.701115,0.296206
1351,13.51,-1.56526,0.981523,0.387726,-0.631738,-0.171126,-0.698673,0.288928
1352,13.52,-1.558333,0.9817,0.386376,-0.634391,-0.169163,-0.696961,0.288405
1353,13.53,-1.551061,0.981864,0.385129,-0.628187,-0.174889,-0.697507,0.297116
1354,13.54,-1.545072,0.981912,0.383994,-0.634568,-0.168994,-0.696035,0.290343
1355,13.55,-1.538526,0.982083,0.382909,-0.634058,-0.168762,-0.696998,0.289281
1356,13.56,-1.531457,0.982484,0.381921,-0.625196,-0.175619,-0.699889,0.297394
1357,13.57,-1.525632,0.982712,0.381139,-0.631036,-0.169977,-0.699083,0.290145
1358,13.58,-1.519135,0.98309,0.380313,-0.632354,-0.168824,-0.698654,0.28898
1359,13.59,-1.512015,0.9835,0.379775,-0.622452,-0.178552,-0.700832,0.299177
1360,13.6,-1.5061,0.984047,0.379175,-0.623074,-0.175355,-0.701652,0.29785
1361,13.61,-1.500635,0.984409,0.378794,-0.628328,-0.168856,-0.702021,0.289583
1362,13.62,-1.494348,0.985032,0.378242,-0.629417,-0.167437,-0.701982,0.288132
1363,13.63,-1.488401,0.985635,0.37797,-0.626269,-0.168148,-0.704453,0.288547
1364,13.64,-1.482297,0.986387,0.377573,-0.625067,-0.168011,-0.705858,0.2878
1365,13.65,-1.476222,0.987158,0.377227,-0.623525,-0.168024,-0.70694,0.288478
1366,13.66,-1.47011,0.987934,0.376947,-0.623432,-0.167503,-0.707084,0.28863
1367,13.67,-1.464266,0.988629,0.376834,-0.620258,-0.168359,-0.709035,0.290181
1368,13.68,-1.458233,0.989308,0.37665,-0.618752,-0.168782,-0.710296,0.290065
1369,13.69,-1.45208,0.989892,0.376503,-0.618546,-0.167446,-0.711411,0.288543
1370,13.7,-1.446057,0.990389,0.376489,-0.617425,-0.167857,-0.71176,0.289841
1371,13.71,-1.439973,0.990737,0.376438,-0.615626,-0.167872,-0.713,0.29061
1372,13.72,-1.433937,0.990953,0.376442,-0.613913,-0.168202,-0.71453,0.290286
1373,13.73,-1.427919,0.990996,0.376515,-0.612468,-0.168559,-0.715858,0.289859
1374,13.74,-1.421859,0.990937,0.376526,-0.610778,-0.168581,-0.717195,0.290107
1375,13.75,-1.415796,0.990773,0.376492,-0.609489,-0.169094,-0.718124,0.29022
1376,13.76,-1.409458,0.990511,0.37625,-0.605687,-0.169792,-0.721959,0.288252
1377,13.77,-1.403642,0.989964,0.376275,-0.606668,-0.170069,-0.720837,0.288833
1378,13.78,-1.397638,0.989326,0.376071,-0.605635,-0.170439,-0.721418,0.289332
1379,13.79,-1.391312,0.988726,0.375556,-0.602177,-0.171318,-0.724652,0.287946
1380,13.8,-1.38523,0.98794,0.375205,-0.601173,-0.171698,-0.725532,0.2876
1381,13.81,-1.379151,0.9871,0.374766,-0.6003,-0.171982,-0.72661,0.286531
1382,13.82,-1.372761,0.985987,0.374384,-0.597775,-0.174145,-0.729228,0.28384
1383,13.83,-1.367104,0.985225,0.373849,-0.60063,-0.172747,-0.726215,0.286381
1384,13.84,-1.36093,0.984325,0.373212,-0.59988,-0.172947,-0.726938,0.285998
1385,13.85,-1.354692,0.983409,0.372524,-0.59948,-0.173409,-0.727301,0.285634
1386,13.86,-1.348419,0.982504,0.371836,-0.598817,-0.173727,-0.72802,0.284999
1387,13.87,-1.341851,0.981643,0.370954,-0.596372,-0.174342,-0.73049,0.283424
1388,13.88,-1.335724,0.98064,0.370419,-0.598141,-0.17493,-0.728627,0.284129
1389,13.89,-1.329271,0.979688,0.369784,-0.597834,-0.17531,-0.728958,0.283692
1390,13.9,-1.322658,0.978778,0.369086,-0.597134,-0.176126,-0.72968,0.282803
1391,13.91,-1.315734,0.977899,0.368251,-0.594046,-0.17721,-0.732606,0.281062
1392,13.92,-1.308856,0.976924,0.367579,-0.592311,-0.178319,-0.733777,0.280964
1393,13.93,-1.301787,0.975977,0.36694,-0.591637,-0.178856,-0.73481,0.27934
1394,13.94,-1.294967,0.974868,0.366517,-0.592269,-0.180064,-0.733323,0.281126
1395,13.95,-1.287639,0.97392,0.365897,-0.591875,-0.18016,-0.734102,0.279859
1396,13.96,-1.28003,0.972707,0.365364,-0.584956,-0.184286,-0.739452,0.277623
1397,13.97,-1.273025,0.971865,0.364589,-0.58889,-0.183103,-0.735762,0.279887
1398,13.98,-1.265318,0.971027,0.363782,-0.587887,-0.183798,-0.736702,0.279066
1399,13.99,-1.257542,0.970185,0.362942,-0.586284,-0.184586,-0.738048,0.278359
1400,14,-1.249878,0.969232,0.362195,-0.584449,-0.186952,-0.738305,0.279956
1401,14.01,-1.241811,0.968349,0.361327,-0.58314,-0.188446,-0.739313,0.279022
1402,14.02,-1.233857,0.967468,0.360447,-0.580623,-0.190901,-0.74012,0.280457
1403,14.03,-1.225535,0.966756,0.359443,-0.578858,-0.192145,-0.741497,0.279616
1404,14.04,-1.2172,0.965974,0.35855,-0.574657,-0.194312,-0.744243,0.27949
1405,14.05,-1.208374,0.96531,0.357465,-0.5749,-0.194739,-0.744767,0.277287
1406,14.06,-1.199091,0.964509,0.356392,-0.56838,-0.198375,-0.750042,0.273912
1407,14.07,-1.190443,0.96402,0.355269,-0.566472,-0.199106,-0.750316,0.276574
1408,14.08,-1.181691,0.96363,0.354479,-0.56476,-0.202515,-0.749423,0.279998
1409,14.09,-1.172078,0.963216,0.353383,-0.560195,-0.20456,-0.753012,0.278046
1410,14.1,-1.162092,0.962811,0.352672,-0.553768,-0.211965,-0.753746,0.283336
1411,14.11,-1.152688,0.962777,0.35181,-0.547916,-0.215608,-0.756549,0.284492
1412,14.12,-1.143076,0.963088,0.351074,-0.544028,-0.217278,-0.75918,0.283672
1413,14.13,-1.133552,0.963677,0.350432,-0.539925,-0.218576,-0.761739,0.283654
1414,14.14,-1.124122,0.964487,0.349569,-0.538379,-0.218753,-0.763341,0.282145
1415,14.15,-1.114902,0.965564,0.348735,-0.536086,-0.219357,-0.764845,0.281968
1416,14.16,-1.106004,0.96701,0.347801,-0.534717,-0.218419,-0.765791,0.282728
1417,14.17,-1.097167,0.968237,0.346916,-0.5341,-0.219325,-0.765988,0.282658
1418,14.18,-1.088762,0.969687,0.345793,-0.533108,-0.219025,-0.766618,0.283057
1419,14.19,-1.080711,0.971333,0.344837,-0.532172,-0.217181,-0.767394,0.284134
1420,14.2,-1.072627,0.972659,0.343873,-0.52948,-0.218679,-0.769027,0.283599
1421,14.21,-1.064986,0.973962,0.34304,-0.524991,-0.220318,-0.771349,0.284368
1422,14.22,-1.057405,0.975116,0.34254,-0.521346,-0.22171,-0.773484,0.284192
1423,14.23,-1.050058,0.976108,0.342111,-0.516454,-0.223985,-0.776539,0.283008
1424,14.24,-1.042608,0.977174,0.342108,-0.514682,-0.223969,-0.778383,0.281177
1425,14.25,-1.035639,0.977965,0.342076,-0.507879,-0.227445,-0.781989,0.280749
1426,14.26,-1.028585,0.97883,0.342296,-0.505,-0.229054,-0.783938,0.279197
1427,14.27,-1.02192,0.979626,0.34247,-0.49992,-0.232544,-0.78536,0.281448
1428,14.28,-1.01592,0.980391,0.342628,-0.501226,-0.226984,-0.78854,0.274691
1429,14.29,-1.00894,0.981074,0.342904,-0.492441,-0.23517,-0.790354,0.278455
1430,14.3,-1.002547,0.981904,0.343078,-0.489581,-0.23555,-0.792181,0.277987
1431,14.31,-0.996298,0.982755,0.343211,-0.487234,-0.236946,-0.793476,0.277229
1432,14.32,-0.990152,0.983511,0.343397,-0.486031,-0.238186,-0.793309,0.278751
1433,14.33,-0.984419,0.984435,0.34343,-0.482558,-0.23664,-0.797463,0.274212
1434,14.34,-0.978674,0.985305,0.343556,-0.480567,-0.237723,-0.798734,0.27307
1435,14.35,-0.973203,0.98607,0.343753,-0.478915,-0.238462,-0.799662,0.272613
1436,14.36,-0.967735,0.986915,0.343985,-0.477029,-0.239301,-0.800769,0.271933
1437,14.37,-0.96243,0.987686,0.344305,-0.474937,-0.241348,-0.801636,0.27123
1438,14.38,-0.957281,0.988436,0.344628,-0.473273,-0.242031,-0.80288,0.269845
1439,14.39,-0.952164,0.98919,0.34491,-0.471991,-0.242481,-0.804075,0.268125
1440,14.4,-0.947098,0.989951,0.345356,-0.46963,-0.244137,-0.805429,0.2667
1441,14.41,-0.942073,0.99066,0.345867,-0.467776,-0.244683,-0.80692,0.264945
1442,14.42,-0.937147,0.991363,0.346409,-0.465431,-0.24571,-0.808647,0.26285
1443,14.43,-0.932325,0.991987,0.347065,-0.463461,-0.246569,-0.809993,0.26138
1444,14.44,-0.927931,0.992636,0.347693,-0.466129,-0.241902,-0.811543,0.256137
1445,14.45,-0.922779,0.992981,0.348588,-0.458751,-0.248422,-0.813315,0.257589
1446,14.46,-0.918021,0.993305,0.349455,-0.455866,-0.248814,-0.815637,0.254978
1447,14.47,-0.913784,0.993634,0.35034,-0.457849,-0.244073,-0.817367,0.250426
1448,14.48,-0.909158,0.993735,0.351427,-0.455365,-0.244683,-0.819591,0.247072
1449,14.49,-0.904509,0.993752,0.352566,-0.452274,-0.244898,-0.821711,0.245488
1450,14.5,-0.89953,0.993637,0.353928,-0.444622,-0.250498,-0.824075,0.245892
1451,14.51,-0.894925,0.993449,0.355265,-0.442073,-0.251125,-0.825854,0.24387
1452,14.52,-0.890406,0.993233,0.356725,-0.439793,-0.250951,-0.827822,0.241487
1453,14.53,-0.885913,0.992988,0.358267,-0.437041,-0.251822,-0.829575,0.239556
1454,14.54,-0.881818,0.992745,0.359785,-0.439409,-0.246036,-0.83162,0.234081
1455,14.55,-0.877444,0.992388,0.361457,-0.437299,-0.245459,-0.833547,0.231775
1456,14.56,-0.872645,0.991819,0.363257,-0.430145,-0.251035,-0.835387,0.232562
1457,14.57,-0.868654,0.991379,0.364945,-0.431059,-0.246486,-0.837573,0.227826
1458,14.58,-0.864503,0.990877,0.366842,-0.429118,-0.245414,-0.839613,0.22512
1459,14.59,-0.860323,0.990347,0.368772,-0.425914,-0.245282,-0.841709,0.223516
1460,14.6,-0.856188,0.989776,0.370865,-0.422953,-0.245328,-0.843819,0.221121
1461,14.61,-0.852041,0.989207,0.373003,-0.419542,-0.245641,-0.845847,0.219518
1462,14.62,-0.847784,0.98862,0.375146,-0.415597,-0.24664,-0.847794,0.218387
1463,14.63,-0.843691,0.988106,0.377434,-0.413103,-0.246385,-0.849569,0.216502
1464,14.64,-0.839463,0.987581,0.379772,-0.409821,-0.246387,-0.851489,0.215188
1465,14.65,-0.835234,0.987032,0.382173,-0.406613,-0.246876,-0.853227,0.213827
1466,14.66,-0.830902,0.986428,0.384638,-0.402782,-0.24831,-0.854678,0.213621
1467,14.67,-0.826178,0.985799,0.38753,-0.401599,-0.243971,-0.857391,0.209945
1468,14.68,-0.822024,0.985397,0.389991,-0.398638,-0.24675,-0.857828,0.210557
1469,14.69,-0.817446,0.984919,0.392606,-0.39526,-0.247319,-0.85936,0.210009
1470,14.7,-0.812848,0.984393,0.395306,-0.392432,-0.247744,-0.860612,0.209682
1471,14.71,-0.807778,0.98377,0.39856,-0.390616,-0.242762,-0.863779,0.205843
1472,14.72,-0.803477,0.983296,0.401088,-0.386886,-0.248115,-0.86336,0.208247
1473,14.73,-0.798762,0.982794,0.404024,-0.383943,-0.248969,-0.864552,0.207734
1474,14.74,-0.793972,0.982256,0.407146,-0.381222,-0.249026,-0.865804,0.207457
1475,14.75,-0.789229,0.981743,0.410321,-0.378027,-0.249587,-0.867091,0.207254
1476,14.76,-0.784432,0.981152,0.413594,-0.374285,-0.250622,-0.868381,0.207398
1477,14.77,-0.779624,0.980606,0.417049,-0.371248,-0.251412,-0.869504,0.207198
1478,14.78,-0.774184,0.979855,0.421007,-0.370275,-0.248243,-0.870736,0.207586
1479,14.79,-0.769853,0.979422,0.424454,-0.364591,-0.252449,-0.871918,0.207608
1480,14.8,-0.765049,0.978783,0.428386,-0.361024,-0.253669,-0.872979,0.2079
1481,14.81,-0.760288,0.978044,0.432318,-0.356207,-0.255284,-0.874247,0.2089
1482,14.82,-0.755054,0.977269,0.436736,-0.35436,-0.252383,-0.876227,0.20726
1483,14.83,-0.750257,0.976602,0.440901,-0.3505,-0.255617,-0.876478,0.208794
1484,14.84,-0.745102,0.975879,0.445373,-0.348143,-0.25638,-0.877177,0.208872
1485,14.85,-0.739931,0.975106,0.449878,-0.344605,-0.25701,-0.878352,0.209024
1486,14.86,-0.734517,0.974295,0.454528,-0.342181,-0.257015,-0.879314,0.208953
1487,14.87,-0.729132,0.973621,0.459242,-0.338935,-0.257955,-0.880268,0.209071
1488,14.88,-0.723408,0.973027,0.464155,-0.337789,-0.259658,-0.879278,0.212947
1489,14.89,-0.718087,0.972754,0.469169,-0.332944,-0.259545,-0.882031,0.209297
1490,14.9,-0.712578,0.972589,0.474344,-0.329642,-0.260214,-0.882741,0.210696
1491,14.91,-0.707406,0.97305,0.479871,-0.325492,-0.260458,-0.885132,0.206779
1492,14.92,-0.702449,0.973557,0.485594,-0.321598,-0.260995,-0.886703,0.205461
1493,14.93,-0.697563,0.974652,0.491428,-0.317224,-0.261488,-0.888708,0.202958
1494,14.94,-0.693127,0.975448,0.497365,-0.312494,-0.262726,-0.890266,0.201865
1495,14.95,-0.688669,0.976654,0.503344,-0.307932,-0.26431,-0.891643,0.200727
1496,14.96,-0.683886,0.978168,0.509362,-0.305652,-0.26906,-0.889718,0.206361
1497,14.97,-0.680099,0.979487,0.515706,-0.297234,-0.268394,-0.894265,0.199766
1498,14.98,-0.676015,0.980736,0.521679,-0.29211,-0.270898,-0.895133,0.20006
1499,14.99,-0.672148,0.98164,0.528033,-0.286812,-0.275683,-0.895302,0.200432
1500,15,-0.667321,0.983089,0.534372,-0.2856,-0.275336,-0.89525,0.202856
1501,15.01,-0.663054,0.983879,0.540567,-0.280844,-0.2773,-0.896506,0.201268
1502,15.02,-0.659759,0.984341,0.546441,-0.276899,-0.278526,-0.897827,0.19914
1503,15.03,-0.655379,0.984797,0.552727,-0.272127,-0.276379,-0.900605,0.196146
1504,15.04,-0.651447,0.985102,0.55835,-0.274216,-0.280759,-0.897317,0.201993
1505,15.05,-0.647778,0.984964,0.564381,-0.270176,-0.27757,-0.900568,0.197325
1506,15.06,-0.643888,0.984869,0.569919,-0.26979,-0.279391,-0.899457,0.200329
1507,15.07,-0.640217,0.98437,0.575751,-0.266713,-0.277279,-0.901397,0.198654
1508,15.08,-0.637145,0.983951,0.580893,-0.263632,-0.276958,-0.903272,0.194657
1509,15.09,-0.633612,0.983753,0.586634,-0.261717,-0.274637,-0.904374,0.195411
1510,15.1,-0.630682,0.983005,0.591607,-0.258107,-0.275664,-0.905585,0.193147
1511,15.11,-0.627967,0.982702,0.596637,-0.254117,-0.276544,-0.906661,0.192129
1512,15.12,-0.625078,0.982723,0.60207,-0.247927,-0.274272,-0.909756,0.188814
1513,15.13,-0.622541,0.982657,0.607238,-0.242981,-0.274536,-0.911354,0.18715
1514,15.14,-0.620167,0.982755,0.612328,-0.238183,-0.275416,-0.912645,0.185726
1515,15.15,-0.61794,0.982919,0.617199,-0.232992,-0.27636,-0.913762,0.185414
1516,15.16,-0.615735,0.983057,0.622348,-0.227929,-0.276917,-0.915361,0.182973
1517,15.17,-0.613756,0.983275,0.627038,-0.219973,-0.273693,-0.91879,0.180359
1518,15.18,-0.611705,0.983686,0.632324,-0.217624,-0.278795,-0.917483,0.182036
1519,15.19,-0.609825,0.984103,0.637474,-0.212518,-0.28008,-0.918662,0.180144
1520,15.2,-0.608175,0.984274,0.642249,-0.212607,-0.275287,-0.920556,0.177743
1521,15.21,-0.606086,0.984701,0.647669,-0.203289,-0.280801,-0.920778,0.178863
1522,15.22,-0.604379,0.984918,0.652366,-0.200123,-0.279807,-0.922463,0.175276
